Date,Open,High,Low,Close,Adj Close,Volume
2012-02-03,540.0,570.0,510.0,510.0,510.0,7
2012-02-06,510.0,510.0,510.0,510.0,510.0,0
2012-02-07,540.0,540.0,540.0,540.0,540.0,2
2012-02-08,630.0,630.0,540.0,540.0,540.0,21
2012-02-09,570.0,720.0,540.0,540.0,540.0,26
2012-02-10,630.0,750.0,600.0,600.0,600.0,18
2012-02-13,720.0,720.0,720.0,720.0,720.0,2
2012-02-14,720.0,720.0,720.0,720.0,720.0,3
2012-02-15,720.0,750.0,720.0,750.0,750.0,10
2012-02-16,690.0,690.0,600.0,600.0,600.0,6
2012-02-17,660.0,660.0,600.0,600.0,600.0,10
2012-02-21,615.0,615.0,615.0,615.0,615.0,2
2012-02-22,630.0,690.0,600.0,630.0,630.0,15
2012-02-23,600.0,600.0,516.0,516.0,516.0,52
2012-02-24,570.0,570.0,540.0,540.0,540.0,4
2012-02-27,570.0,570.0,570.0,570.0,570.0,2
2012-02-28,540.0,540.0,540.0,540.0,540.0,3
2012-02-29,540.0,540.0,540.0,540.0,540.0,1
2012-03-01,510.0,540.0,510.0,540.0,540.0,9
2012-03-02,540.0,570.0,540.0,570.0,570.0,3
2012-03-05,570.0,570.0,480.0,480.0,480.0,9
2012-03-06,570.0,570.0,450.0,450.0,450.0,6
2012-03-07,660.0,660.0,660.0,660.0,660.0,1
2012-03-08,660.0,660.0,660.0,660.0,660.0,0
2012-03-09,660.0,660.0,510.0,570.0,570.0,8
2012-03-12,510.0,510.0,510.0,510.0,510.0,2
2012-03-13,510.0,600.0,510.0,600.0,600.0,18
2012-03-14,660.0,660.0,660.0,660.0,660.0,2
2012-03-15,540.0,540.0,540.0,540.0,540.0,3
2012-03-16,660.0,720.0,600.0,690.0,690.0,40
2012-03-19,690.0,750.0,690.0,750.0,750.0,9
2012-03-20,750.0,870.0,750.0,780.0,780.0,24
2012-03-21,780.0,780.0,780.0,780.0,780.0,7
2012-03-22,780.0,840.0,690.0,780.0,780.0,26
2012-03-23,810.0,870.0,780.0,870.0,870.0,27
2012-03-26,840.0,855.0,705.0,780.0,780.0,48
2012-03-27,810.0,810.0,720.0,720.0,720.0,13
2012-03-28,720.0,720.0,708.0,720.0,720.0,5
2012-03-29,720.0,720.0,720.0,720.0,720.0,0
2012-03-30,720.0,720.0,720.0,720.0,720.0,2
2012-04-02,720.0,720.0,720.0,720.0,720.0,0
2012-04-03,720.0,765.0,720.0,765.0,765.0,9
2012-04-04,750.0,750.0,720.0,720.0,720.0,7
2012-04-05,720.0,750.0,720.0,750.0,750.0,1
2012-04-09,708.0,708.0,708.0,708.0,708.0,2
2012-04-10,708.0,708.0,705.0,705.0,705.0,3
2012-04-11,690.0,690.0,660.0,660.0,660.0,21
2012-04-12,660.0,660.0,660.0,660.0,660.0,0
2012-04-13,675.0,675.0,675.0,675.0,675.0,5
2012-04-16,675.0,675.0,663.0,669.0,669.0,10
2012-04-17,663.0,663.0,570.0,585.0,585.0,88
2012-04-18,600.0,600.0,600.0,600.0,600.0,4
2012-04-19,600.0,660.0,600.0,615.0,615.0,12
2012-04-20,570.0,660.0,570.0,570.0,570.0,16
2012-04-23,570.0,570.0,570.0,570.0,570.0,0
2012-04-24,540.0,540.0,510.0,510.0,510.0,6
2012-04-25,510.0,510.0,510.0,510.0,510.0,0
2012-04-26,510.0,510.0,510.0,510.0,510.0,0
2012-04-27,510.0,510.0,510.0,510.0,510.0,0
2012-04-30,585.0,630.0,585.0,630.0,630.0,6
2012-05-01,585.0,585.0,585.0,585.0,585.0,1
